|Ministério da Educação|
|Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira|
Taxas de Rendimento Escolar, Abandono||


Ano|Código da Escola|Taxa de Abandono no Ensino Médio (%)
2021|25045555|11,6
2014|25046764|-
2015|25046764|7,1
2016|25046764|1,6
2017|25046764|14,5
2018|25046764|7
2019|25046764|3,2
2020|25046764|1,5
2021|25046764|0
2014|25046950|-
2015|25046950|18,4
2016|25046950|7,9
2017|25046950|8,8
2018|25046950|8,7
2019|25046950|3,6
2020|25046950|1,4
2021|25046950|4,5
2014|25047116|-
2015|25047116|19,8
2016|25047116|20
2017|25047116|9,2
2018|25047116|13,5
2019|25047116|5,5
2020|25047116|0
2021|25047116|0
2014|25047450|-
2015|25047450|1,2
2016|25047450|6,8
2017|25047450|2,5
2018|25047450|2,7
2019|25047450|1,4
2020|25047450|1,9
2021|25047450|0
2014|25047469|-
2015|25047469|4,3
2016|25047469|8,1
2017|25047469|2
2018|25047469|2,2
2019|25047469|3,8
2020|25047469|0
2021|25047469|0
2014|25048350|-
2015|25048350|8,2
2016|25048350|7,9
2017|25048350|10,6
2018|25048350|12,6
2019|25048350|9
2020|25048350|2,6
2021|25048350|3,7
2014|25048368|-
2015|25048368|3,9
2016|25048368|3,9
2017|25048368|20,5
2018|25048368|8,8
2019|25048368|1,6
2020|25048368|0
2021|25048368|0
2014|25048775|-
2015|25048775|4,2
2016|25048775|7,4
2017|25048775|4,7
2018|25048775|2,2
2019|25048775|0
2020|25048775|0
2021|25048775|0
2014|25048880|-
2015|25048880|8,5
2016|25048880|5,5
2017|25048880|7,4
2018|25048880|5,4
2019|25048880|4,5
2020|25048880|0
2021|25048880|3,2
2014|25049372|-
2015|25049372|3,2
2016|25049372|3,5
2017|25049372|4,5
2018|25049372|3,9
2019|25049372|2,3
2020|25049372|0
2021|25049372|0
2014|25049496|-
2015|25049496|11,9
2016|25049496|6,5
2017|25049496|10,7
2018|25049496|14,6
2019|25049496|0,5
2020|25049496|0
2021|25049496|0
2014|25049640|-
2015|25049640|4,8
2016|25049640|7,9
2017|25049640|14,1
2018|25049640|23,6
2019|25049640|0
2020|25049640|2,9
2021|25049640|1,5
2014|25050427|-
